=== bourbaki.cardinaux.iii_6_infinis.denombrable.ensembles_denombrable_injection_iii6.trois_impair  est_clos=True ===

---- par tottime (temps propre, hors sous-appels) ----
         2024908861 function calls (1636910326 primitive calls) in 1117.567 seconds

   Ordered by: internal time
   List reduced from 2305 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.005    0.002  458.554  152.851 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_5_entiers\ensembles_parite_iii5.py:134(deux_succ_eq)
 46256141   52.522    0.000  405.310    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\noyau\noyau_abrege.py:139(modus_ponens)
        3    0.005    0.002  403.028  134.343 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_gate_onto_top.py:275(_bo_form_clean)
        1    0.003    0.003  403.016  403.016 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_gate_onto_top.py:150(_realise_clean_generalized)
        1    0.004    0.004  403.011  403.011 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_4_ordinal_cardinal\realisation_segment\ensembles_subset_realise_close.py:553(realise_segment_pour_B_clean)
107838048/50030800   94.123    0.000  394.326    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_1_termes_relations\formule.py:83(__eq__)
        1    0.008    0.008  389.082  389.082 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_5_entiers\ensembles_parite_iii5.py:555(_pni_step)
       13    0.002    0.000  381.483   29.345 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_2_trichotomie_ordinaux\coincidence_fusion\ensembles_fusion_depuis_coincidence_app.py:344(fusion_depuis_coincidence_app)
       13    0.002    0.000  380.491   29.269 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_2_trichotomie_ordinaux\coincidence_fusion\ensembles_fusion_depuis_coincidence_app.py:298(_core_with_witnesses_app)
       26    0.005    0.000  378.019   14.539 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_2_trichotomie_ordinaux\coincidence_fusion\ensembles_fusion_depuis_coincidence_app.py:254(_branche_couvrante_app)
       26    0.009    0.000  377.475   14.518 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\cardinaux\iii_2_trichotomie_ordinaux\coincidence_fusion\ensembles_fusion_depuis_coincidence_app.py:175(_coinc_point_app)
  4601653   15.436    0.000  373.671    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\tactiques\tactiques_abrege2.py:20(mono_gauche)
   874518    5.060    0.000  357.706    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\tactiques\tactiques_abrege2.py:243(instanciation)
  2264570    8.687    0.000  346.632    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\tactiques\tactiques_abrege2.py:39(contraposition)
   810545    1.642    0.000  317.527    0.000 C:\Users\KARL\OneDrive\Bureau\Apprendre\Livre\Bourbakie\Theorie_des_ensembles\V9\bourbaki\logique\i_2_criteres_C\tactiques\tactiques_abrege2.py:256(instancie)


